Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,470p,
"C2, C3",C_Radial_D8.0mm_H7.0mm_P3.50mm,2,220u,
"C4, C5",0603,2,100n,
D1,DIOM5227X270N,1,D_Schottky_Filled,
D2,0805,1,GREEN,
D3,0805,1,RED,
"J1, J2, J3",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,3,Conn_01x02_Pin,
K1,relay_897_1AH_C_001,1,Fujitsu_FTR-LYAA005x,
L1,my_L_1,1,220u,
Q1,SOT95P240X120-3N,1,NPN,
"R1, R2",0603,2,1,
R3,0603,1,1.5k,
R4,0603,1,13k,
R5,0603,1,4.7k,
R6,0603,1,2.2k,
R7,0603,1,10k,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,MC34063AD,
