Designator,Mid X,Mid Y,Rotation,Layer
C1,42.775,-29.31,180.0,top
C2,30.7,-24.6,180.0,top
C3,39.2,-40.8,270.0,top
C4,36.0,-31.585,90.0,top
C5,34.5,-30.035,270.0,top
D1,43.45,-24.95,90.0,top
D2,81.1,-35.2,0.0,top
D3,81.1,-32.55,0.0,top
J1,77.1,-24.05,180.0,top
J2,77.15,-42.35,0.0,top
J3,85.7,-24.05,180.0,top
K1,59.275,-33.3,0.0,top
L1,38.35,-25.4,0.0,top
Q1,75.55,-30.35,180.0,top
R1,35.275,-33.86,0.0,top
R2,35.275,-35.36,0.0,top
R3,39.775,-29.31,180.0,top
R4,36.775,-29.31,180.0,top
R5,82.1,-29.25,180.0,top
R6,74.4,-27.7,180.0,top
R7,79.05,-29.25,180.0,top
U1,40.525,-32.765,90.0,top
